----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
     BatchNorm2d-119            [-1, 640, 8, 8]           1,280
            SiLU-120            [-1, 640, 8, 8]               0
          Conv2d-121            [-1, 640, 8, 8]           5,760
     BatchNorm2d-122            [-1, 640, 8, 8]           1,280
            SiLU-123            [-1, 640, 8, 8]               0
AdaptiveAvgPool2d-124            [-1, 640, 1, 1]               0
          Conv2d-125             [-1, 40, 1, 1]          25,640
            SiLU-126             [-1, 40, 1, 1]               0
          Conv2d-127            [-1, 640, 1, 1]          26,240
         Sigmoid-128            [-1, 640, 1, 1]               0
SqueezeExcitation-129            [-1, 640, 8, 8]               0
          Conv2d-130            [-1, 160, 8, 8]         102,400
     BatchNorm2d-131            [-1, 160, 8, 8]             320
 StochasticDepth-132            [-1, 160, 8, 8]               0
          MBConv-133            [-1, 160, 8, 8]               0
          Conv2d-134            [-1, 640, 8, 8]         102,400
     BatchNorm2d-135            [-1, 640, 8, 8]           1,280
            SiLU-136            [-1, 640, 8, 8]               0
          Conv2d-137            [-1, 640, 8, 8]           5,760
     BatchNorm2d-138            [-1, 640, 8, 8]           1,280
            SiLU-139            [-1, 640, 8, 8]               0
AdaptiveAvgPool2d-140            [-1, 640, 1, 1]               0
          Conv2d-141             [-1, 40, 1, 1]          25,640
            SiLU-142             [-1, 40, 1, 1]               0
          Conv2d-143            [-1, 640, 1, 1]          26,240
         Sigmoid-144            [-1, 640, 1, 1]               0
SqueezeExcitation-145            [-1, 640, 8, 8]               0
          Conv2d-146            [-1, 160, 8, 8]         102,400
     BatchNorm2d-147            [-1, 160, 8, 8]             320
 StochasticDepth-148            [-1, 160, 8, 8]               0
          MBConv-149            [-1, 160, 8, 8]               0
          Conv2d-150            [-1, 640, 8, 8]         102,400
     BatchNorm2d-151            [-1, 640, 8, 8]           1,280
            SiLU-152            [-1, 640, 8, 8]               0
          Conv2d-153            [-1, 640, 8, 8]           5,760
     BatchNorm2d-154            [-1, 640, 8, 8]           1,280
            SiLU-155            [-1, 640, 8, 8]               0
AdaptiveAvgPool2d-156            [-1, 640, 1, 1]               0
          Conv2d-157             [-1, 40, 1, 1]          25,640
            SiLU-158             [-1, 40, 1, 1]               0
          Conv2d-159            [-1, 640, 1, 1]          26,240
         Sigmoid-160            [-1, 640, 1, 1]               0
SqueezeExcitation-161            [-1, 640, 8, 8]               0
          Conv2d-162            [-1, 160, 8, 8]         102,400
     BatchNorm2d-163            [-1, 160, 8, 8]             320
 StochasticDepth-164            [-1, 160, 8, 8]               0
          MBConv-165            [-1, 160, 8, 8]               0
          Conv2d-166            [-1, 640, 8, 8]         102,400
     BatchNorm2d-167            [-1, 640, 8, 8]           1,280
            SiLU-168            [-1, 640, 8, 8]               0
