----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
AdaptiveAvgPool2d-506           [-1, 1824, 1, 1]               0
          Conv2d-507             [-1, 76, 1, 1]         138,700
            SiLU-508             [-1, 76, 1, 1]               0
          Conv2d-509           [-1, 1824, 1, 1]         140,448
         Sigmoid-510           [-1, 1824, 1, 1]               0
SqueezeExcitation-511           [-1, 1824, 4, 4]               0
          Conv2d-512            [-1, 304, 4, 4]         554,496
     BatchNorm2d-513            [-1, 304, 4, 4]             608
 StochasticDepth-514            [-1, 304, 4, 4]               0
          MBConv-515            [-1, 304, 4, 4]               0
          Conv2d-516           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-517           [-1, 1824, 4, 4]           3,648
            SiLU-518           [-1, 1824, 4, 4]               0
          Conv2d-519           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-520           [-1, 1824, 4, 4]           3,648
            SiLU-521           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-522           [-1, 1824, 1, 1]               0
          Conv2d-523             [-1, 76, 1, 1]         138,700
            SiLU-524             [-1, 76, 1, 1]               0
          Conv2d-525           [-1, 1824, 1, 1]         140,448
         Sigmoid-526           [-1, 1824, 1, 1]               0
SqueezeExcitation-527           [-1, 1824, 4, 4]               0
          Conv2d-528            [-1, 304, 4, 4]         554,496
     BatchNorm2d-529            [-1, 304, 4, 4]             608
 StochasticDepth-530            [-1, 304, 4, 4]               0
          MBConv-531            [-1, 304, 4, 4]               0
          Conv2d-532           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-533           [-1, 1824, 4, 4]           3,648
            SiLU-534           [-1, 1824, 4, 4]               0
          Conv2d-535           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-536           [-1, 1824, 4, 4]           3,648
            SiLU-537           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-538           [-1, 1824, 1, 1]               0
          Conv2d-539             [-1, 76, 1, 1]         138,700
            SiLU-540             [-1, 76, 1, 1]               0
          Conv2d-541           [-1, 1824, 1, 1]         140,448
         Sigmoid-542           [-1, 1824, 1, 1]               0
SqueezeExcitation-543           [-1, 1824, 4, 4]               0
          Conv2d-544            [-1, 304, 4, 4]         554,496
     BatchNorm2d-545            [-1, 304, 4, 4]             608
 StochasticDepth-546            [-1, 304, 4, 4]               0
          MBConv-547            [-1, 304, 4, 4]               0
          Conv2d-548           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-549           [-1, 1824, 4, 4]           3,648
            SiLU-550           [-1, 1824, 4, 4]               0
          Conv2d-551           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-552           [-1, 1824, 4, 4]           3,648
            SiLU-553           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-554           [-1, 1824, 1, 1]               0
          Conv2d-555             [-1, 76, 1, 1]         138,700
            SiLU-556             [-1, 76, 1, 1]               0
          Conv2d-557           [-1, 1824, 1, 1]         140,448
         Sigmoid-558           [-1, 1824, 1, 1]               0
SqueezeExcitation-559           [-1, 1824, 4, 4]               0
          Conv2d-560            [-1, 304, 4, 4]         554,496
     BatchNorm2d-561            [-1, 304, 4, 4]             608
 StochasticDepth-562            [-1, 304, 4, 4]               0
          MBConv-563            [-1, 304, 4, 4]               0
          Conv2d-564           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-565           [-1, 1824, 4, 4]           3,648
            SiLU-566           [-1, 1824, 4, 4]               0
          Conv2d-567           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-568           [-1, 1824, 4, 4]           3,648
            SiLU-569           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-570           [-1, 1824, 1, 1]               0
          Conv2d-571             [-1, 76, 1, 1]         138,700
            SiLU-572             [-1, 76, 1, 1]               0
          Conv2d-573           [-1, 1824, 1, 1]         140,448
         Sigmoid-574           [-1, 1824, 1, 1]               0
SqueezeExcitation-575           [-1, 1824, 4, 4]               0
          Conv2d-576            [-1, 304, 4, 4]         554,496
     BatchNorm2d-577            [-1, 304, 4, 4]             608
 StochasticDepth-578            [-1, 304, 4, 4]               0
          MBConv-579            [-1, 304, 4, 4]               0
          Conv2d-580           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-581           [-1, 1824, 4, 4]           3,648
            SiLU-582           [-1, 1824, 4, 4]               0
          Conv2d-583           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-584           [-1, 1824, 4, 4]           3,648
            SiLU-585           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-586           [-1, 1824, 1, 1]               0
          Conv2d-587             [-1, 76, 1, 1]         138,700
            SiLU-588             [-1, 76, 1, 1]               0
          Conv2d-589           [-1, 1824, 1, 1]         140,448
         Sigmoid-590           [-1, 1824, 1, 1]               0
SqueezeExcitation-591           [-1, 1824, 4, 4]               0
          Conv2d-592            [-1, 304, 4, 4]         554,496
     BatchNorm2d-593            [-1, 304, 4, 4]             608
 StochasticDepth-594            [-1, 304, 4, 4]               0
          MBConv-595            [-1, 304, 4, 4]               0
          Conv2d-596           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-597           [-1, 1824, 4, 4]           3,648
            SiLU-598           [-1, 1824, 4, 4]               0
          Conv2d-599           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-600           [-1, 1824, 4, 4]           3,648
            SiLU-601           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-602           [-1, 1824, 1, 1]               0
          Conv2d-603             [-1, 76, 1, 1]         138,700
            SiLU-604             [-1, 76, 1, 1]               0
          Conv2d-605           [-1, 1824, 1, 1]         140,448
         Sigmoid-606           [-1, 1824, 1, 1]               0
SqueezeExcitation-607           [-1, 1824, 4, 4]               0
          Conv2d-608            [-1, 304, 4, 4]         554,496
     BatchNorm2d-609            [-1, 304, 4, 4]             608
 StochasticDepth-610            [-1, 304, 4, 4]               0
          MBConv-611            [-1, 304, 4, 4]               0
          Conv2d-612           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-613           [-1, 1824, 4, 4]           3,648
            SiLU-614           [-1, 1824, 4, 4]               0
          Conv2d-615           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-616           [-1, 1824, 4, 4]           3,648
            SiLU-617           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-618           [-1, 1824, 1, 1]               0
          Conv2d-619             [-1, 76, 1, 1]         138,700
            SiLU-620             [-1, 76, 1, 1]               0
          Conv2d-621           [-1, 1824, 1, 1]         140,448
         Sigmoid-622           [-1, 1824, 1, 1]               0
SqueezeExcitation-623           [-1, 1824, 4, 4]               0
          Conv2d-624            [-1, 304, 4, 4]         554,496
     BatchNorm2d-625            [-1, 304, 4, 4]             608
 StochasticDepth-626            [-1, 304, 4, 4]               0
          MBConv-627            [-1, 304, 4, 4]               0
          Conv2d-628           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-629           [-1, 1824, 4, 4]           3,648
            SiLU-630           [-1, 1824, 4, 4]               0
          Conv2d-631           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-632           [-1, 1824, 4, 4]           3,648
            SiLU-633           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-634           [-1, 1824, 1, 1]               0
          Conv2d-635             [-1, 76, 1, 1]         138,700
            SiLU-636             [-1, 76, 1, 1]               0
          Conv2d-637           [-1, 1824, 1, 1]         140,448
         Sigmoid-638           [-1, 1824, 1, 1]               0
SqueezeExcitation-639           [-1, 1824, 4, 4]               0
          Conv2d-640            [-1, 304, 4, 4]         554,496
     BatchNorm2d-641            [-1, 304, 4, 4]             608
 StochasticDepth-642            [-1, 304, 4, 4]               0
          MBConv-643            [-1, 304, 4, 4]               0
          Conv2d-644           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-645           [-1, 1824, 4, 4]           3,648
            SiLU-646           [-1, 1824, 4, 4]               0
          Conv2d-647           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-648           [-1, 1824, 4, 4]           3,648
            SiLU-649           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-650           [-1, 1824, 1, 1]               0
          Conv2d-651             [-1, 76, 1, 1]         138,700
            SiLU-652             [-1, 76, 1, 1]               0
          Conv2d-653           [-1, 1824, 1, 1]         140,448
         Sigmoid-654           [-1, 1824, 1, 1]               0
SqueezeExcitation-655           [-1, 1824, 4, 4]               0
          Conv2d-656            [-1, 304, 4, 4]         554,496
     BatchNorm2d-657            [-1, 304, 4, 4]             608
 StochasticDepth-658            [-1, 304, 4, 4]               0
          MBConv-659            [-1, 304, 4, 4]               0
          Conv2d-660           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-661           [-1, 1824, 4, 4]           3,648
            SiLU-662           [-1, 1824, 4, 4]               0
          Conv2d-663           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-664           [-1, 1824, 4, 4]           3,648
            SiLU-665           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-666           [-1, 1824, 1, 1]               0
          Conv2d-667             [-1, 76, 1, 1]         138,700
            SiLU-668             [-1, 76, 1, 1]               0
          Conv2d-669           [-1, 1824, 1, 1]         140,448
         Sigmoid-670           [-1, 1824, 1, 1]               0
SqueezeExcitation-671           [-1, 1824, 4, 4]               0
          Conv2d-672            [-1, 304, 4, 4]         554,496
     BatchNorm2d-673            [-1, 304, 4, 4]             608
 StochasticDepth-674            [-1, 304, 4, 4]               0
          MBConv-675            [-1, 304, 4, 4]               0
          Conv2d-676           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-677           [-1, 1824, 4, 4]           3,648
            SiLU-678           [-1, 1824, 4, 4]               0
          Conv2d-679           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-680           [-1, 1824, 4, 4]           3,648
            SiLU-681           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-682           [-1, 1824, 1, 1]               0
          Conv2d-683             [-1, 76, 1, 1]         138,700
            SiLU-684             [-1, 76, 1, 1]               0
          Conv2d-685           [-1, 1824, 1, 1]         140,448
         Sigmoid-686           [-1, 1824, 1, 1]               0
SqueezeExcitation-687           [-1, 1824, 4, 4]               0
          Conv2d-688            [-1, 304, 4, 4]         554,496
     BatchNorm2d-689            [-1, 304, 4, 4]             608
 StochasticDepth-690            [-1, 304, 4, 4]               0
          MBConv-691            [-1, 304, 4, 4]               0
          Conv2d-692           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-693           [-1, 1824, 4, 4]           3,648
            SiLU-694           [-1, 1824, 4, 4]               0
          Conv2d-695           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-696           [-1, 1824, 4, 4]           3,648
            SiLU-697           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-698           [-1, 1824, 1, 1]               0
          Conv2d-699             [-1, 76, 1, 1]         138,700
            SiLU-700             [-1, 76, 1, 1]               0
          Conv2d-701           [-1, 1824, 1, 1]         140,448
         Sigmoid-702           [-1, 1824, 1, 1]               0
SqueezeExcitation-703           [-1, 1824, 4, 4]               0
          Conv2d-704            [-1, 304, 4, 4]         554,496
     BatchNorm2d-705            [-1, 304, 4, 4]             608
 StochasticDepth-706            [-1, 304, 4, 4]               0
          MBConv-707            [-1, 304, 4, 4]               0
          Conv2d-708           [-1, 1824, 4, 4]         554,496
     BatchNorm2d-709           [-1, 1824, 4, 4]           3,648
            SiLU-710           [-1, 1824, 4, 4]               0
          Conv2d-711           [-1, 1824, 4, 4]          16,416
     BatchNorm2d-712           [-1, 1824, 4, 4]           3,648
            SiLU-713           [-1, 1824, 4, 4]               0
AdaptiveAvgPool2d-714           [-1, 1824, 1, 1]               0
          Conv2d-715             [-1, 76, 1, 1]         138,700
            SiLU-716             [-1, 76, 1, 1]               0
          Conv2d-717           [-1, 1824, 1, 1]         140,448
         Sigmoid-718           [-1, 1824, 1, 1]               0
SqueezeExcitation-719           [-1, 1824, 4, 4]               0
          Conv2d-720            [-1, 512, 4, 4]         933,888
     BatchNorm2d-721            [-1, 512, 4, 4]           1,024
          MBConv-722            [-1, 512, 4, 4]               0
          Conv2d-723           [-1, 3072, 4, 4]       1,572,864
     BatchNorm2d-724           [-1, 3072, 4, 4]           6,144
            SiLU-725           [-1, 3072, 4, 4]               0
          Conv2d-726           [-1, 3072, 4, 4]          27,648
     BatchNorm2d-727           [-1, 3072, 4, 4]           6,144
            SiLU-728           [-1, 3072, 4, 4]               0
AdaptiveAvgPool2d-729           [-1, 3072, 1, 1]               0
          Conv2d-730            [-1, 128, 1, 1]         393,344
            SiLU-731            [-1, 128, 1, 1]               0
          Conv2d-732           [-1, 3072, 1, 1]         396,288
         Sigmoid-733           [-1, 3072, 1, 1]               0
SqueezeExcitation-734           [-1, 3072, 4, 4]               0
          Conv2d-735            [-1, 512, 4, 4]       1,572,864
     BatchNorm2d-736            [-1, 512, 4, 4]           1,024
 StochasticDepth-737            [-1, 512, 4, 4]               0
          MBConv-738            [-1, 512, 4, 4]               0
          Conv2d-739           [-1, 3072, 4, 4]       1,572,864
     BatchNorm2d-740           [-1, 3072, 4, 4]           6,144
            SiLU-741           [-1, 3072, 4, 4]               0
          Conv2d-742           [-1, 3072, 4, 4]          27,648
     BatchNorm2d-743           [-1, 3072, 4, 4]           6,144
            SiLU-744           [-1, 3072, 4, 4]               0
AdaptiveAvgPool2d-745           [-1, 3072, 1, 1]               0
          Conv2d-746            [-1, 128, 1, 1]         393,344
            SiLU-747            [-1, 128, 1, 1]               0
          Conv2d-748           [-1, 3072, 1, 1]         396,288
         Sigmoid-749           [-1, 3072, 1, 1]               0
SqueezeExcitation-750           [-1, 3072, 4, 4]               0
          Conv2d-751            [-1, 512, 4, 4]       1,572,864
     BatchNorm2d-752            [-1, 512, 4, 4]           1,024
 StochasticDepth-753            [-1, 512, 4, 4]               0
          MBConv-754            [-1, 512, 4, 4]               0
          Conv2d-755           [-1, 3072, 4, 4]       1,572,864
     BatchNorm2d-756           [-1, 3072, 4, 4]           6,144
            SiLU-757           [-1, 3072, 4, 4]               0
          Conv2d-758           [-1, 3072, 4, 4]          27,648
     BatchNorm2d-759           [-1, 3072, 4, 4]           6,144
            SiLU-760           [-1, 3072, 4, 4]               0
AdaptiveAvgPool2d-761           [-1, 3072, 1, 1]               0
          Conv2d-762            [-1, 128, 1, 1]         393,344
            SiLU-763            [-1, 128, 1, 1]               0
          Conv2d-764           [-1, 3072, 1, 1]         396,288
         Sigmoid-765           [-1, 3072, 1, 1]               0
SqueezeExcitation-766           [-1, 3072, 4, 4]               0
          Conv2d-767            [-1, 512, 4, 4]       1,572,864
     BatchNorm2d-768            [-1, 512, 4, 4]           1,024
 StochasticDepth-769            [-1, 512, 4, 4]               0
          MBConv-770            [-1, 512, 4, 4]               0
          Conv2d-771           [-1, 3072, 4, 4]       1,572,864
     BatchNorm2d-772           [-1, 3072, 4, 4]           6,144
            SiLU-773           [-1, 3072, 4, 4]               0
          Conv2d-774           [-1, 3072, 4, 4]          27,648
     BatchNorm2d-775           [-1, 3072, 4, 4]           6,144
            SiLU-776           [-1, 3072, 4, 4]               0
AdaptiveAvgPool2d-777           [-1, 3072, 1, 1]               0
          Conv2d-778            [-1, 128, 1, 1]         393,344
            SiLU-779            [-1, 128, 1, 1]               0
          Conv2d-780           [-1, 3072, 1, 1]         396,288
         Sigmoid-781           [-1, 3072, 1, 1]               0
SqueezeExcitation-782           [-1, 3072, 4, 4]               0
          Conv2d-783            [-1, 512, 4, 4]       1,572,864
     BatchNorm2d-784            [-1, 512, 4, 4]           1,024
 StochasticDepth-785            [-1, 512, 4, 4]               0
          MBConv-786            [-1, 512, 4, 4]               0
          Conv2d-787           [-1, 1280, 4, 4]         655,360
     BatchNorm2d-788           [-1, 1280, 4, 4]           2,560
            SiLU-789           [-1, 1280, 4, 4]               0
AdaptiveAvgPool2d-790           [-1, 1280, 1, 1]               0
         Dropout-791                 [-1, 1280]               0
          Linear-792                   [-1, 19]          24,339
================================================================
Total params: 52,884,639
Trainable params: 52,884,639
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.66
Forward/backward pass size (MB): 165.01
Params size (MB): 201.74
Estimated Total Size (MB): 367.41
----------------------------------------------------------------
